"season" "size" "speed" "mxPH" "mnO2" "Cl" "NO3" "NH4" "oPO4" "PO4" "Chla" "a1"
"spring" "medium" "high" 7.8 8.3 51.5 2.098 30.2 24.6 184.39999 31.3 1.9
"winter" "medium" "medium" 7.9 11.3 82.5 6.283 300 12.333 53.333 13.7 12.3
"summer" "medium" "medium" 8 8.8 176.25 0.618 440 16.25 79.25 3.5 8
"autumn" "large" "low" 8.1 9.07 71.39 2.904 1768.80005 27.6 123.06 41.54 5.8
"winter" "large" "low" 8.7 5.4 48 1.139 144.286 36.714 66.833 22.017 1.2
"summer" "large" "low" 7.9 5.3 48 0.513 138.33299 61.333 89.167 4 0
"autumn" "large" "low" 8.7 12.2 32.23 1.887 233.5 17.5 66.167 39.333 11.8
"winter" "large" "low" 8.6 6.5 43 0.668 95 10.5 74.667 63.5 30.1
"spring" "large" "high" 7.4 7.3 19 4.39 120 74.857 166.286 5.3 0
"summer" "large" "high" 7.8 10.4 22.5 4.72 178.75 116.5 201 2.7 0
"winter" "large" "low" 8.5 9.8 70.25 1.644 285 68.714 132 16.028 4.6
"spring" "large" "low" 7.98 5.6 47.06 3.088 357 311.39999 342.29999 18.53 2.4
"summer" "large" "low" 7.95 7.2 57.286 3.746 425.71399 291.14301 330 4.714 0
"spring" "large" "medium" 7.96 5.5 131.364 3.313 810.90002 311.45499 349.81799 20.47 2.7
"autumn" "large" "medium" 8.03 7.83 83.023 4.065 1222.81006 240.545 269.091 6.809 5
"winter" "large" "medium" 8.35 2.75 97.733 3.681 137.444 91 155.556 2.744 0
"summer" "large" "medium" 8.15 10.4 189.567 5.011 162.944 135.778 219.278 2.859 0
"winter" "large" "high" 8.5 10.1 3 0.851 37.778 10.778 23.889 0.5 37.5
"winter" "large" "medium" 8.5 11.4 3 0.774 10.909 3.727 8.091 3.6 35.9
"spring" "large" "medium" 8.5 8.5 4.025 0.825 23.636 5.583 31.091 2.4 38.6
"autumn" "large" "medium" 8.4 11.43 4.966 0.969 24.111 6 18.167 2.133 34.7
"spring" "large" "high" 8.2 9.9 6.4 0.553 21.429 12 76.286 1.3 16
"autumn" "large" "high" 8 10.98 9.7 0.874 67.7 26.6 51.034 2.2 26.7
"autumn" "large" "low" 8.3 8.9 42.058 5.922 116.727 150.58299 220.72301 6.7 0
"spring" "large" "low" 8.7 6.8 16.889 2.139 30 37.111 85.444 23.033 2.2
"winter" "large" "medium" 8.6 10.4 15.182 2.502 140.909 31.909 77.7 15.318 4.8
"summer" "large" "medium" 8 9.1 15.375 2.118 43.75 48.875 86.5 8.125 0
"summer" "large" "medium" 8.2 9.5 17.875 2.363 63.75 44 77 8.463 1.5
"spring" "large" "medium" 8.5 9.6 16.545 3.849 103.273 34.273 63.4 14.682 18.8
"spring" "large" "medium" 8.04 9.3 130.263 3.776 131.008 97.5 152.966 6.15 0
"autumn" "large" "medium" 7.95 9.1 76.886 3.461 93.827 68.333 146.049 3.95 1.2
"autumn" "small" "high" 7.64 10.3 34.235 2.942 41.43 17 41.567 7.43 23.2
"winter" "small" "high" 7.92 8.5 10.867 1.715 199.54 3.222 27.2 1.9 74.2
"spring" "small" "high" 7.62 9.4 11.055 1.51 13.56 4 12.65 1.456 13
"summer" "medium" "high" 7.75 10.7 15.5 3.976 57.64 10.5 43.169 3.12 4.1
"winter" "small" "high" 7.08 8.4 9.45 1.572 26.54 4 13.6 0.675 29.7
"winter" "small" "high" 8.1 9.8 14.34 0.73 22.5 23 45.5 0.85 17.1
"spring" "large" "medium" 8.61 10.1 3.518 0.663 12.22 3.222 7 1.3 48.3
"summer" "large" "medium" 8.22 9.5 2.3 0.672 9.87 4 6.123 0.8 50.4
"summer" "large" "medium" 8.4 10 3.51 0.866 29.65 5.8 15 2.86 17.3
"summer" "medium" "high" 8.12 10.2 7.613 0.699 33.56 28.034 49.658 2.2 18.1
"winter" "large" "low" 8.7 11.7 21.4656 3.765 91.45 38 83 17 0
"summer" "large" "low" 8.1 8.2 26.54 2.805 42.75 48.5 88.125 13.98 0
"autumn" "large" "low" 8.35 11.1 22.56 3.14 76.2 41 98.665 17.456 1.7
