"make"	"address"	"all"	"X3d"	"our"	"over"	"remove"	"internet"	"order"	"mail"	"receive"	"will"	"people"	"report"	"addresses"	"free"	"business"	"email"	"you"	"credit"	"your"	"font"	"X000"	"money"	"hp"	"hpl"	"george"	"X650"	"lab"	"labs"	"telnet"	"X857"	"data"	"X415"	"X85"	"technology"	"X1999"	"parts"	"pm"	"direct"	"cs"	"meeting"	"original"	"project"	"re"	"edu"	"table"	"conference"	"semicol"	"paren"	"bracket"	"bang"	"dollar"	"pound"	"cap_avg"	"cap_long"	"cap_total"	"Class"
0	0.46	0.46	0	1.4	0	0.46	1.86	0	0.93	0.46	0	0	0	0	1.86	0	0	0.93	0.46	1.4	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0.46	0	0	0	0	0	0	0	0	0	0.071	0	0.571	0.214	0	4.63	64	213	"spam"
0	0	0.42	0	0	0	0	0	0	0	0	0.85	0	0	0	0.85	0	0.85	4.7	0	0.85	5.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0.082	0.248	7.17	42	294	"spam"
0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428	0	0	4.652	31	107	"spam"
0	0.17	1.03	0	0.68	0.17	0.68	0	0	0.17	0	0.17	0.17	0	0.34	1.03	0.34	0.17	3.44	0	1.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0.084	0	0.056	0.196	0	2.26	53	208	"spam"
0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	2.71	0	0.67	0	0	0	0	0	0.67	0	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0.555	3	14	348	"ham"
0	0.26	0.78	0	0.26	0.26	0.08	1.04	0.52	1.56	0.26	0.69	0.17	0.08	0.69	0.86	0.34	0	1.82	0.17	1.3	0	0.08	0.34	0	0	0	0	0	0	0	0	0.08	0	0	0.08	0	0	0	0	0	0	0	0	0.08	0.08	0	0	0.096	0.234	0	0.358	0.261	0.11	3.554	54	981	"spam"
0	0	0	0	0	0	0	0	0	0	0	5.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.098	0	0	2.142	9	15	"ham"
0.1	0.1	0.03	0	0.07	0.03	0	0.03	0	0.1	0	0.53	0	0	0	0.17	0.03	0	0.81	0.03	1.35	0	0.1	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0.071	0	0.013	0.065	0	2.11	46	3220	"spam"
0	0	0.32	0	0.64	0.64	0.64	0.32	0	0	0	0.32	0.32	0	0	0.32	0.32	0.32	2.27	0	3.24	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0.166	0	0	0.166	0	1.688	19	157	"spam"
2.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38	0	0	0	1.38	0	0	0	0	0	0	0.213	0	0	1.75	6	49	"ham"
0	0.34	0	0	0.68	0	0.68	0	0	0.34	0.34	0	0	0	0	0.34	0	1.36	3.42	0	2.73	0	0	0	0.34	0.34	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.048	0	1.411	15	96	"spam"
0	0	0	0	1.05	2.1	1.05	0	0	0	0	0	0	0	0	0	0	0	3.15	0	1.05	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176	0.176	0	2.05	6	41	"spam"
0	0	0	0	0	0	4.08	0	0	0	0	0	0	0	0	0	0	0	2.04	0	0	0	0	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257	0	0	4.181	26	46	"spam"
0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0.85	2.56	0	0	0	0	0	0.85	0.85	0	0.85	0	0	0	0	0	0	0.85	0	1.7	0	0	0	0	0	0.85	0	0.85	0	0	0	0.142	0	0.142	0	0	0	1.717	12	67	"ham"
0.72	0	0	0	1.45	0.72	0.72	0	0	1.45	0	0	0	0	0	0	0	0	1.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404	0	0.134	0	0	3.066	14	92	"spam"
0	0.41	0.2	0	1.67	0.2	0.2	0	0	1.04	0.2	0	0.2	0	0	0.83	0.2	0	2.09	0	0.62	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0.62	0	0.2	0	0	0	0.132	0	0	1.65	15	175	"spam"
0	0	0.36	0	0.6	0.12	0.12	0	0	0	0.12	0.48	0.12	0.12	0	0.12	0	0.6	2.41	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0.037	0	0.056	0.094	0	1.246	14	389	"spam"
0	0	0	0	1.28	0	1.28	0	0	0	0	0	0	0	0	0.64	0	1.28	1.28	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0.17	0	2.466	18	111	"spam"
0	0	0	0	0	0	0	0	0	0	0	2.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85	0	0	0	0	0	0	0	0	0	0.444	0	0	2.333	12	28	"ham"
0	0.13	0.54	0	0.27	0.13	0	0	0	0.27	0	1.21	0	0	0	0.13	0	0	1.89	0	0.94	0	0	0	0.13	0.94	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0.13	0	0	0	0	0	0.073	0.048	0	0.024	0	0	5.15	82	582	"ham"
0	0	0	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0	3.77	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.307	16	30	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17	0	0	0	0	0.421	0	0.21	0.632	0	3.75	15	60	"spam"
0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	2.35	0.39	1.17	0.39	0.39	0.78	0.39	0.39	0	0.39	0.39	1.56	0.39	0	0	0.39	0	0.39	0.39	0	0.39	0	0	0.39	0	0.314	0	0.125	0	0	1.955	13	133	"ham"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	"spam"
0	0.46	0	0	1.15	0	0.23	0.23	0	0.46	0	0.69	0.23	0	0	0	0.69	0.69	2.76	0	1.84	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0.841	0.036	0	1.862	52	285	"spam"
1.19	0.59	0	0	0.59	0	0	0.59	0	0	0	0	0.59	0	0	0	0	0.59	3.57	0	6.54	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	1.437	11	161	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41	4.41	0	1.47	0	0	0	0	0	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.565	10	59	"ham"
0	0.72	0.72	0	0	0	0	1.45	0	0	0.72	0	0	0	0	2.91	0	0.72	1.45	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0.495	0	0	1.525	8	61	"spam"
0.12	0.12	0.24	0	1.34	0.12	0	0.12	0	0	0.36	0.85	0	0	0	0.24	0.24	0	2.33	0	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0.12	0	0	0	0	0.12	0	0	0	0.061	0.02	0	0.041	0.041	0	2.351	69	254	"spam"
0	0	0.83	0	1.66	0.41	0	0	0	0	0	0.41	0	0	0	0.41	0	0	2.08	0	4.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218	0	0	0	0	2.35	12	134	"spam"
0.19	0.19	0.29	0	1.07	0.19	0.19	0.97	0.87	0.58	0.09	1.07	0.19	0.87	0.09	0	0	1.17	3.81	0.68	1.75	0	0.09	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0	0	0	0	0	0	0	0	0	0	0.202	0.405	0.233	0.031	4.32	49	877	"spam"
0	1.92	0	0	1.92	0	0	0	0	0	0	1.92	0	0	0	0	0	0	1.92	0	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75	12	33	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	"ham"
0.1	0.2	0.52	0	0.31	1.14	0.2	0.62	1.04	0.52	0.2	0.62	0	0	1.66	0	0.2	1.45	2.08	0.2	1.25	0	1.14	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0.095	0.143	0	0.334	0.175	0.031	7.439	689	1287	"spam"
0	0	0.68	0	0	0	0	1.36	0	0	0.68	0.68	0	0	0	0	0	0	3.4	0	1.36	0	0.68	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232	0.232	0	2.232	19	96	"spam"
0	0	0.46	0	0.46	0	0	0	0	0	0	0	0	0	0	0.46	0	0	2.8	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0.082	0	0.663	0	0	1.428	20	120	"spam"
0.12	0.12	0.12	0	0.12	0.12	0	0.37	0.12	0	0.12	0.74	0	0	0	0	0.24	0.12	0	0.24	0	0	0	0	0.49	0	0	0.12	0.12	0	0	0	0	0	0	0.98	0.24	0	0.12	0	0	0.49	0	0	0	0.74	0	0	0.017	0.089	0	0	0.017	0	1.403	18	456	"ham"
0.71	0.35	0.71	0	1.79	0	0	0	0	0.35	0	1.43	0	0	0	0.35	0	0	3.94	0	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	8.086	153	186	"spam"
0	0.36	0	0	0	0.36	1.47	0	0	0.36	0.36	0.73	0	0	0	0.36	0	1.1	2.2	0	0.73	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183	0	0.367	0.061	0.122	4	36	264	"spam"
0	0	1.47	0	0	1.1	0.36	0	0	0	0.36	0.36	0	0	0	0.36	0	0	2.21	1.1	2.95	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0.433	0.928	0.185	3	33	177	"spam"
0	0	0	0	0	0	0	0	0	0	0	1.88	0	0	0	0	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0.33	0	0	1.769	4	23	"ham"
0	0	0.12	0	0.36	0.24	0	0	0	0	0.12	0.12	0.12	0	0	0	0	0	1.21	0	0.96	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0.693	0	0	1.335	11	195	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	"ham"
0	0	0.27	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0	1.1	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.187	6.693	49	328	"spam"
0.09	0.49	0.59	0	0.39	0.19	0	0	0.09	0.39	0	1.57	0.19	0	0	0	0.09	0	3.75	0.09	1.08	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768	0.037	0	5.848	1.313	0	5.96	54	757	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	0	0	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714	0	0	0.238	0	0	4.333	11	104	"spam"
0.17	0.22	0.62	0	0.11	0.22	0.05	0.11	0	0.39	0.11	1.02	0.45	0.05	0.05	0	0	0.39	3.46	0	1.76	0	0.56	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.2	0	0.441	0.421	0.04	4.945	116	1449	"spam"
0	0	0.78	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0.401	0	0.133	0	0	1.565	4	36	"ham"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	"ham"
0	0.08	0.25	0	0.84	0.25	0.08	0.33	0	0.16	0.08	0.76	0	0.08	0	1.61	0.76	0.33	1.52	0.33	0.5	0.84	0.42	0.08	0	0	0	0	0	0	0	0	0	0	0	0.25	0.08	0	0	0.08	0	0	0	0	0	0	0	0	0	0.047	0.015	0.518	0.157	0.33	7.277	292	2045	"spam"
0.22	0.22	0.22	0	1.77	0.22	0.44	0.44	0.22	2.88	0	0.88	0.22	0	1.1	0.44	0	0.44	3.32	0	3.32	0	0.44	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0.588	0.156	0	86.7	1038	1734	"spam"
0	0	0	0	0	0	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.592	8	43	"ham"
0	0.1	0.31	0.1	1.05	0.42	0	0.31	0	0.1	0.1	0.84	0	0.1	0	2	0.84	0.21	1.69	0.31	0.31	0	0.52	0.1	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.054	0	0.384	0.182	0.201	8.851	299	1726	"spam"
0	0	0	0	0	0	0	6.06	0	0	0	0	0	0	0	0	0	0	6.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0.48	0	1.684	10	32	"spam"
0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.4	0	0	0	0	0.145	0	0	0	1.372	5	70	"ham"
0	0	0.47	0	0	0	0.94	0	0	0	0	0.47	0	0	0	0	0.47	0	0.94	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0.072	0	0.217	0	0	1.48	11	77	"spam"
0	0	0	0	0.37	0	0	0	0	0	0	0.37	0.37	0	0	0	0.75	0	1.12	0	0.37	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0.37	0	0	0	0	0.054	0	0	0.054	0	1.066	4	128	"ham"
0.67	0.16	1.35	0	1.01	0	0	0	0	0.16	0.16	1.69	0.5	0	0	0.33	0	0.16	5.77	0	1.35	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0.123	0.278	0.03	3.774	46	268	"spam"
0	0	1.03	0	1.03	0	0	0	0	0	0	0	0	0	0	0	2.06	1.03	4.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.149	0	0	1.461	3	19	"spam"
0	0	0	0	1.55	0	0	0	0	0.31	0	0.31	0	0	0	0.31	0.62	0	2.79	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0.048	0	0	0	0	2.09	22	115	"spam"
0	1.23	0	0	0	0	0	0	0	1.23	0	0.61	2.46	0	0	0	0	0	3.08	0	1.23	0	0	0	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224	0	0	0	0	1	1	20	"ham"
0	0	0.58	0	1.17	0	0.58	0	0	0	0	0.58	0	0	0	0.58	0	0	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.829	0	0	2.529	8	86	"spam"
0	0	0.38	0	0.38	0.38	0.38	0	0.38	1.94	0	1.16	0	0	0	0.38	0.77	0.77	2.72	0	1.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0.057	0.057	0	7.121	70	235	"spam"
0.43	0	0.43	0	0.43	0.43	0	0	0	0.87	0	0.43	0	0	0	0	3.49	0	1.31	0	1.74	0	1.31	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298	0.149	0.074	2.955	47	133	"spam"
0	1.16	0	0	0	0	0	1.16	0	1.16	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0	0	0	0	0	0	0	1.25	3	20	"ham"
0.18	0	0.18	0	1.57	0.36	0.06	0.06	0.06	0.12	0.06	0.54	0.3	0.06	0	0	0.72	0.06	4.49	0.24	1.09	0	0.85	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0.01	0.052	0	0.01	0.167	0	1.736	12	441	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	2	5	"ham"
0.76	0	0.38	0	0.12	0.25	0	0.12	0.12	0	0	0.25	0.38	0	0	0.38	0	0.25	2.92	0	2.92	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0.661	0.088	0	2.256	21	325	"spam"
0	0.07	0.15	0	0.12	0.02	0	0.02	0	0.12	0	0.3	0.12	0	0	0.02	0.17	0.12	0.22	0.02	0.12	0	0	0	0	0	0	0	0	0	0	0	2.16	0	0	0.15	0.68	0	0	0.02	0.1	0.02	0.02	0.02	0	0.33	0	0.43	0.037	0.225	0.007	0.015	0.041	0.003	2.198	25	2458	"ham"
0	0.1	0.62	0	0.31	0	0.1	0	0.2	0.62	0.1	0.62	0.41	0	0	0.1	0.1	0.2	3.43	0.1	1.66	0	0.1	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.611	0.264	0.049	3.794	69	702	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.081	0	0	2.3	9	23	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	"ham"
0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	0	1.85	0	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258	0	0	1.55	0	0	4.555	13	82	"spam"
1.03	0	0	0	0	0	0	0	0	0	0	1.03	0	0	0	1.03	0	0	3.62	0	1.03	0	0	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176	0.176	0	2.766	26	83	"spam"
0	0	0.28	0	0.16	0.18	0	0	0	0	0.02	0.09	0.11	0	0	0	0	0	0.14	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.116	0.021	0.03	0	0	16.644	154	9088	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.69	0	0	0	0	0	0	0	0	0	0	0	4.34	0	0	0	0	1.44	1.44	0	1.44	0	0	0	0	0	0.222	0	0	0	5.357	28	150	"ham"
0	0.06	0.2	0	0.61	0.13	0	0	0.75	0	0.27	0.75	0.27	0	0	0	0.2	0.13	1.16	0	1.23	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0.034	0.057	0	0.472	0.092	0.023	2.086	104	703	"spam"
0	0	0	0	0	0	0.91	0	0	0	0	0.91	0	0	0	0.91	0	1.83	4.58	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0.455	0	0	2.842	10	54	"spam"
0	0	0.46	0	0	0	0.46	0	0	0	0.46	0	0	0	0	0	0	1.4	1.87	0	0	0.93	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	2.676	32	91	"spam"
0	1.2	0.4	0	0.4	0	0.8	0.4	0	0	0	0.8	0.4	0	0	0.8	0.4	1.2	3.62	0	1.61	0	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.069	0	0.552	0.207	0.138	6.652	69	153	"spam"
0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0.56	0	0	0	3.37	1.4	0.28	0.28	0.28	0.28	0.28	0.28	0	0.28	0.28	0.28	0.56	0	0	0.28	0	0.28	0.56	0	0.28	0	0	0	0	0.14	0.093	0	0	0	2.464	15	207	"ham"
0.52	0	1.05	0	0	1.05	0	0	0	0.52	0	0.52	1.05	0	0	1.05	0.52	0	3.15	0	0.52	0	1.05	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.295	0.698	0	2.016	14	125	"spam"
0	0	0	0	0	0	1.47	0	0	1.47	0	1.47	0	0	0	0	0	0	5.88	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.214	3	17	"spam"
